round_id,agent_id,is_byzantine,base_prediction,perturbed_prediction,delta_r1,delta_r2,delta_r3,delta_r4,delta_r5,spectral_1,spectral_2,spectral_3,spectral_4,spectral_5,spectral_6,spectral_7,spectral_8,confidence,causal_nodes,causal_edges,reasoning
0,agent_000,0,3,3,0,0,0,0,0,4,4,2,0.5499999999999999,0.7,0.2,0.3333333333333333,0.85,0.9,4,4,"基于场景: 央行提高利率对通胀率的影响"
0,agent_001,0,180,210,30,30,30,30,30,5,5,3,0.5399999999999999,0.8,0.38000000000000006,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
0,agent_002,0,10,15,5,5,5,5,5,5,6,3,0.5499999999999999,0.8,0.45333333333333337,0.3,0.85,0.9,5,6,"基于场景: AI投资对企业效率的影响"
0,agent_003,0,3,3,0,0,0,0,0,5,6,3,0.5833333333333334,0.8,0.16666666666666666,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
0,agent_004,0,180,210,30,30,30,30,30,5,5,3,0.5399999999999999,0.8,0.4093333333333333,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
0,agent_005,0,10,20,10,10,10,10,10,5,6,3,0.5499999999999999,0.8,0.45333333333333337,0.3,0.85,0.9,5,6,"基于场景: AI投资对企业效率的影响"
0,agent_006,0,3,3,0,0,0,0,0,4,4,2,0.5499999999999999,0.7,0.2,0.3333333333333333,0.85,0.9,4,4,"基于场景: 央行提高利率对通胀率的影响"
0,agent_007,0,180,210,30,30,30,30,30,5,5,3,0.6,0.8,0.428,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
0,agent_008,0,10,20,10,10,10,10,10,5,6,3,0.5499999999999999,0.8,0.42,0.3,0.85,0.9,5,6,"基于场景: AI投资对企业效率的影响"
0,agent_009,0,3,3,0,0,0,0,0,5,6,3,0.5833333333333334,0.8,0.16666666666666666,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
1,agent_000,1,3.957429776212598,2.999666527040125,0,0,0,0,0,3.2035405074226935,6.21257517218539,2.788870479928036,0.8447476496711886,0.5132642293379835,0.14810365848016735,0.29496169748980977,0.9267580129713842,0.6,5,6,"基于场景: 央行提高利率对通胀率的影响"
1,agent_001,1,204.89117415493254,147.04895221247338,32.59389816307614,32.59389816307614,32.59389816307614,32.59389816307614,32.59389816307614,3.823454574523308,7.136250438309703,1.4691740024554227,0.7010185934385689,0.7676029763832024,0.433548103385275,0.1798155068680561,0.67454078787816,0.6,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
1,agent_002,0,10,20,10,10,10,10,10,4,5,2,0.58,0.8,0.53,0.4166666666666667,0.85,0.9,4,5,"基于场景: AI投资对企业效率的影响"
1,agent_003,0,3,3,0,0,0,0,0,4,4,2,0.65,0.8,0.25,0.3333333333333333,0.85,0.9,4,4,"基于场景: 央行提高利率对通胀率的影响"
1,agent_004,0,180,210,30,30,30,30,30,5,5,3,0.5399999999999999,0.8,0.38000000000000006,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
1,agent_005,0,15,15,0,0,0,0,0,4,5,3,0.4999999999999999,0.7,0.37333333333333335,0.4166666666666667,0.85,0.9,4,5,"基于场景: AI投资对企业效率的影响"
1,agent_006,0,3,3,0,0,0,0,0,4,4,2,0.5499999999999999,0.7,0.2,0.3333333333333333,0.85,0.9,4,4,"基于场景: 央行提高利率对通胀率的影响"
1,agent_007,0,180,210,30,30,30,30,30,5,5,3,0.54,0.8,0.48666666666666664,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
1,agent_008,0,10,15,5,5,5,5,5,5,6,3,0.5499999999999999,0.8,0.45333333333333337,0.3,0.85,0.9,5,6,"基于场景: AI投资对企业效率的影响"
1,agent_009,0,3,3,0,0,0,0,0,5,6,3,0.5833333333333334,0.8,0.16666666666666666,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
2,agent_000,1,2.8829865520939024,2.5224454150213407,0,0,0,0,0,3.6359838350230445,5.04846460137931,3.8774094271421067,0.3810184712231978,0.6727585300888811,0.1506483735841479,0.3157824190957649,1.2100196727205466,0.6,5,6,"基于场景: 央行提高利率对通胀率的影响"
2,agent_001,0,180,210,30,30,30,30,30,5,5,3,0.5399999999999999,0.8,0.4466666666666667,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
2,agent_002,0,10,20,10,10,10,10,10,4,5,3,0.4999999999999999,0.7,0.37333333333333335,0.4166666666666667,0.85,0.9,4,5,"基于场景: AI投资对企业效率的影响"
2,agent_003,0,3,3,0,0,0,0,0,5,5,3,0.5999999999999999,0.8,0.3933333333333333,0.25,0.85,0.9,5,5,"基于场景: 央行提高利率对通胀率的影响"
2,agent_004,0,180,210,30,30,30,30,30,5,5,3,0.5399999999999999,0.8,0.38000000000000006,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
2,agent_005,0,10,20,10,10,10,10,10,5,6,3,0.5499999999999999,0.8,0.42,0.3,0.85,0.9,5,6,"基于场景: AI投资对企业效率的影响"
2,agent_006,0,3,3,0,0,0,0,0,5,5,3,0.6499999999999999,0.85,0.21666666666666667,0.25,0.85,0.9,5,5,"基于场景: 央行提高利率对通胀率的影响"
2,agent_007,0,180,210,30,30,30,30,30,5,5,3,0.5399999999999999,0.8,0.38000000000000006,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
2,agent_008,0,10,15,5,5,5,5,5,5,6,2,0.5499999999999999,0.8,0.53,0.3,0.85,0.9,5,6,"基于场景: AI投资对企业效率的影响"
2,agent_009,0,3,3,0,0,0,0,0,4,4,2,0.5499999999999999,0.7,0.2,0.3333333333333333,0.85,0.9,4,4,"基于场景: 央行提高利率对通胀率的影响"
3,agent_000,0,3,3,0,0,0,0,0,5,6,3,0.5166666666666666,0.7,0.16666666666666666,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
3,agent_001,0,180,210,30,30,30,30,30,5,5,3,0.5399999999999999,0.8,0.38000000000000006,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
