round_id,agent_id,is_byzantine,base_prediction,perturbed_prediction,delta_r1,delta_r2,delta_r3,delta_r4,delta_r5,spectral_1,spectral_2,spectral_3,spectral_4,spectral_5,spectral_6,spectral_7,spectral_8,confidence,causal_nodes,causal_edges,reasoning
0,agent_000,1,4.415317719087866,1.6198404761090068,0,0,0,0,0,4.922242226705844,4.931665400668297,1.4670261754584362,0.6601316218793499,0.8059588636328522,0.17796052155071806,0.4561694575760756,0.8836833930455567,0.6,4,4,"基于场景: 央行提高利率对通胀率的影响"
0,agent_001,0,180,210,30,30,30,30,30,5,5,3,0.54,0.8,0.48666666666666664,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
0,agent_002,0,15,20,5,5,5,5,5,4,4,2,0.65,0.8,0.53,0.3333333333333333,0.85,0.9,4,4,"基于场景: AI投资对企业效率的影响"
0,agent_003,0,3,3,0,0,0,0,0,5,6,3,0.5833333333333334,0.8,0.16666666666666666,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
0,agent_004,0,180,210,30,30,30,30,30,5,5,2,0.54,0.8,0.48000000000000004,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
0,agent_005,0,15,20,5,5,5,5,5,5,6,3,0.6,0.8,0.48666666666666664,0.3,0.85,0.9,5,6,"基于场景: AI投资对企业效率的影响"
0,agent_006,0,3,3,0,0,0,0,0,5,6,3,0.5499999999999999,0.7,0.16666666666666666,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
0,agent_007,0,180,210,30,30,30,30,30,5,6,3,0.5499999999999999,0.8,0.2866666666666667,0.3,0.85,0.9,5,6,"基于场景: 原材料成本上涨对产品价格的影响"
0,agent_008,0,10,15,5,5,5,5,5,5,6,3,0.6,0.8,0.48666666666666675,0.3,0.85,0.9,5,6,"基于场景: AI投资对企业效率的影响"
0,agent_009,0,3,3,0,0,0,0,0,4,4,2,0.5499999999999999,0.7,0.2,0.3333333333333333,0.85,0.9,4,4,"基于场景: 央行提高利率对通胀率的影响"
1,agent_000,1,2.7978049887775005,2.494931636634977,0,0,0,0,0,5.40508881385046,3.98778304696722,1.4413364025110011,0.9268337190600383,0.9517250003329555,0.18121440618830562,0.17276922931556882,0.7264788102095634,0.6,4,4,"基于场景: 央行提高利率对通胀率的影响"
1,agent_001,0,180,210,30,30,30,30,30,5,5,3,0.6,0.8,0.428,0.25,0.85,0.9,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
1,agent_002,0,15,15,0,0,0,0,0,5,6,3,0.5499999999999999,0.8,0.3866666666666667,0.3,0.85,0.9,5,6,"基于场景: AI投资对企业效率的影响"
