round_id,agent_id,is_byzantine,base_prediction,perturbed_prediction,delta_r1,delta_r2,delta_r3,delta_r4,delta_r5,spectral_1,spectral_2,spectral_3,spectral_4,spectral_5,spectral_6,spectral_7,spectral_8,confidence,causal_nodes,causal_edges,reasoning
0,agent_000,0,3,3,0,0,0,0,0,5,6,3,0.6166666666666666,0.8,0.16666666666666666,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
0,agent_001,0,3,3,0,0,0,0,0,5,6,3,0.6333333333333333,0.8,0.18333333333333335,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
0,agent_002,0,3,3,0,0,0,0,0,5,6,3,0.5499999999999999,0.7,0.16666666666666666,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
0,agent_003,0,3,3,0,0,0,0,0,5,6,3,0.5499999999999999,0.7,0.16666666666666666,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
0,agent_004,0,3,3,0,0,0,0,0,5,6,3,0.6999999999999998,0.9,0.2333333333333333,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
0,agent_005,0,3,3,0,0,0,0,0,5,6,3,0.6166666666666666,0.8,0.16666666666666666,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
0,agent_006,0,3,3,0,0,0,0,0,5,6,3,0.6166666666666667,0.8,0.19999999999999998,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
0,agent_007,0,3,3,0,0,0,0,0,5,6,3,0.5666666666666667,0.8,0.16666666666666666,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
0,agent_008,0,3,3,0,0,0,0,0,5,6,3,0.5499999999999999,0.7,0.16666666666666666,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
0,agent_009,0,3,3,0,0,0,0,0,5,6,3,0.5666666666666667,0.8,0.16666666666666666,0.3,0.85,0.9,5,6,"基于场景: 央行提高利率对通胀率的影响"
1,agent_000,1,139.17445179630317,162.3701937623537,23.19574196605053,23.19574196605053,23.19574196605053,23.19574196605053,23.19574196605053,5.137288296622633,4.322489168375125,3.1731040530432093,0.473405588095819,0.8204784593426825,0.4456158483107673,0.29897929659072,0.7918000787518574,0.6,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
1,agent_001,1,264.4931614175622,308.5753549871559,44.0821935695937,44.0821935695937,44.0821935695937,44.0821935695937,44.0821935695937,4.488488775342241,4.653607039629134,2.4801257917890753,0.5290193564720505,0.7945828484708164,0.42688848189334194,0.28100616191592204,0.8595384164757843,0.6,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
1,agent_002,1,231.9345433014142,270.59030051831655,38.655757216902366,38.655757216902366,38.655757216902366,38.655757216902366,38.655757216902366,5.577631366108239,4.547339787318176,3.110027652044462,0.5786736956716548,0.846999158983922,0.3510897167428344,0.2699047938351792,0.7769033845755854,0.6,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
1,agent_003,1,235.9364188981246,275.2591553811454,39.32273648302077,39.32273648302077,39.32273648302077,39.32273648302077,39.32273648302077,5.336584913842074,5.841574527449891,3.2454027360718083,0.48597141915822695,0.7282004066350427,0.40172834108936845,0.29350850775683224,0.7266973989459141,0.6,5,5,"基于场景: 原材料成本上涨对产品价格的影响"
